      Freq    Re(Vin),             Im(Vin),            Re(Vout),            Im(Vout),             Re(Iin),             Im(Iin),            Re(Iout),            Im(Iout),             Re(Pin),             Im(Pin),            Re(Zout),            Im(Zout),            Re(Pout),            Im(Pout),             Re(Zin),             Im(Zin),              Re(Av),              Im(Av),              Re(Ai),              Im(Ai),          
        Hz           V                    V                    V                    V                    A                    A                    A                    A                    W                    W                 Ohms                 Ohms                    W                    W                 Ohms                 Ohms                    L                    L                    L                    L          
 6.041e+04  2.568e+00,  4.107e-02,   2.122e+00,  1.320e+00,   7.697e-03, -1.300e-04,   6.714e-03,  4.177e-03,   1.976e-02,  6.498e-04,   2.994e+02, -1.023e+01,   1.976e-02,  0.000e+00,   3.334e+02,  1.097e+01,   8.342e-01,  5.007e-01,   8.629e-01,  5.573e-01,  
 6.712e+04  2.418e+00,  8.361e-02,   1.773e+00, -1.759e+00,   8.172e-03, -2.646e-04,   5.610e-03, -5.566e-03,   1.973e-02,  1.323e-03,   3.373e+02, -2.212e+01,   1.973e-02, -3.469e-18,   2.952e+02,  1.979e+01,   7.072e-01, -7.520e-01,   7.077e-01, -6.582e-01,  
 7.383e+04  2.583e+00,  1.333e-01,  -1.294e+00, -2.133e+00,   7.650e-03, -4.217e-04,  -4.095e-03, -6.751e-03,   1.970e-02,  2.109e-03,   2.947e+02, -3.192e+01,   1.970e-02, -3.469e-18,   3.356e+02,  3.592e+01,  -5.422e-01, -7.981e-01,  -4.851e-01, -9.093e-01,  
 8.055e+04  2.441e+00,  1.961e-02,  -2.377e+00,  7.718e-01,   8.097e-03, -6.205e-05,  -7.522e-03,  2.442e-03,   1.977e-02,  3.103e-04,   3.312e+02, -4.918e+00,   1.977e-02,  8.674e-19,   3.015e+02,  4.732e+00,  -9.710e-01,  3.239e-01,  -9.313e-01,  2.945e-01,  
 8.726e+04  2.519e+00,  2.152e-01,   1.992e-01,  2.483e+00,   7.851e-03, -6.810e-04,   6.304e-04,  7.857e-03,   1.963e-02,  3.405e-03,   3.075e+02, -5.341e+01,   1.963e-02,  2.168e-19,   3.161e+02,  5.483e+01,   1.621e-01,  9.717e-01,  -6.457e-03,  1.000e+00,  
 9.397e+04  2.535e+00,  5.092e-03,   2.471e+00,  3.789e-01,   7.801e-03, -1.611e-05,   7.819e-03,  1.199e-03,   1.977e-02,  8.057e-05,   3.073e+02, -1.385e+00,   1.977e-02, -4.337e-19,   3.250e+02,  1.324e+00,   9.750e-01,  1.475e-01,   1.002e+00,  1.558e-01,  
 1.007e+05  2.415e+00,  2.161e-01,   9.251e-01, -2.311e+00,   8.180e-03, -6.840e-04,   2.928e-03, -7.313e-03,   1.961e-02,  3.420e-03,   3.339e+02, -5.789e+01,   1.961e-02,  8.674e-19,   2.910e+02,  5.076e+01,   2.951e-01, -9.832e-01,   4.297e-01, -8.581e-01,  
 1.074e+05  2.626e+00,  8.803e-02,  -2.038e+00, -1.440e+00,   7.512e-03, -2.786e-04,  -6.448e-03, -4.558e-03,   1.970e-02,  1.393e-03,   2.852e+02, -2.055e+01,   1.970e-02,  0.000e+00,   3.487e+02,  2.465e+01,  -7.933e-01, -5.218e-01,  -8.347e-01, -6.378e-01,  
 1.141e+05  2.360e+00,  1.275e-01,  -1.854e+00,  1.666e+00,   8.355e-03, -4.036e-04,  -5.867e-03,  5.274e-03,   1.966e-02,  2.018e-03,   3.521e+02, -3.562e+01,   1.966e-02,  0.000e+00,   2.811e+02,  2.884e+01,  -7.453e-01,  7.464e-01,  -7.310e-01,  5.959e-01,  
 1.208e+05  2.627e+00,  2.309e-01,   1.187e+00,  2.184e+00,   7.509e-03, -7.307e-04,   3.757e-03,  6.912e-03,   1.956e-02,  3.653e-03,   2.813e+02, -5.289e+01,   1.956e-02, -3.469e-18,   3.437e+02,  6.419e+01,   5.209e-01,  7.856e-01,   4.069e-01,  9.602e-01,  
