      Freq    Re(Vin),             Im(Vin),            Re(Vout),            Im(Vout),             Re(Iin),             Im(Iin),            Re(Iout),            Im(Iout),             Re(Pin),             Im(Pin),            Re(Zout),            Im(Zout),            Re(Pout),            Im(Pout),             Re(Zin),             Im(Zin),              Re(Av),              Im(Av),              Re(Ai),              Im(Ai),          
        Hz           V                    V                    V                    V                    A                    A                    A                    A                    W                    W                 Ohms                 Ohms                    W                    W                 Ohms                 Ohms                    L                    L                    L                    L          
 6.327e+06  2.027e+00, -2.822e-01,   1.982e+00,  1.882e-01,   5.946e-02,  5.645e-03,   3.964e-02,  3.763e-03,   1.189e-01, -2.822e-02,   3.352e+01, -3.506e+00,   7.929e-02,  1.735e-18,   3.333e+01, -7.911e+00,   9.467e-01,  2.247e-01,   6.667e-01,  0.000e+00,  
 6.531e+06  2.025e+00, -2.736e-01,   1.983e+00,  1.824e-01,   5.950e-02,  5.472e-03,   3.966e-02,  3.648e-03,   1.190e-01, -2.736e-02,   3.351e+01, -3.397e+00,   7.933e-02,  0.000e+00,   3.333e+01, -7.664e+00,   9.498e-01,  2.184e-01,   6.667e-01,  0.000e+00,  
 6.735e+06  2.024e+00, -2.654e-01,   1.984e+00,  1.769e-01,   5.953e-02,  5.308e-03,   3.968e-02,  3.539e-03,   1.191e-01, -2.654e-02,   3.350e+01, -3.295e+00,   7.937e-02,  3.469e-18,   3.333e+01, -7.431e+00,   9.526e-01,  2.124e-01,   6.667e-01,  0.000e+00,  
 6.939e+06  2.022e+00, -2.577e-01,   1.985e+00,  1.718e-01,   5.955e-02,  5.155e-03,   3.970e-02,  3.436e-03,   1.191e-01, -2.577e-02,   3.349e+01, -3.198e+00,   7.941e-02, -8.674e-19,   3.333e+01, -7.213e+00,   9.553e-01,  2.067e-01,   6.667e-01,  0.000e+00,  
 7.143e+06  2.021e+00, -2.505e-01,   1.986e+00,  1.670e-01,   5.958e-02,  5.009e-03,   3.972e-02,  3.340e-03,   1.192e-01, -2.505e-02,   3.348e+01, -3.107e+00,   7.944e-02, -8.674e-19,   3.333e+01, -7.007e+00,   9.577e-01,  2.013e-01,   6.667e-01,  0.000e+00,  
 7.347e+06  2.020e+00, -2.436e-01,   1.987e+00,  1.624e-01,   5.960e-02,  4.872e-03,   3.973e-02,  3.248e-03,   1.192e-01, -2.436e-02,   3.347e+01, -3.021e+00,   7.947e-02,  1.735e-18,   3.333e+01, -6.812e+00,   9.599e-01,  1.962e-01,   6.667e-01,  0.000e+00,  
 7.551e+06  2.019e+00, -2.371e-01,   1.987e+00,  1.581e-01,   5.962e-02,  4.742e-03,   3.975e-02,  3.161e-03,   1.192e-01, -2.371e-02,   3.346e+01, -2.940e+00,   7.950e-02,  0.000e+00,   3.333e+01, -6.628e+00,   9.620e-01,  1.913e-01,   6.667e-01,  0.000e+00,  
 7.755e+06  2.018e+00, -2.309e-01,   1.988e+00,  1.540e-01,   5.964e-02,  4.619e-03,   3.976e-02,  3.079e-03,   1.193e-01, -2.309e-02,   3.346e+01, -2.863e+00,   7.952e-02,  3.469e-18,   3.333e+01, -6.454e+00,   9.639e-01,  1.866e-01,   6.667e-01,  0.000e+00,  
 7.959e+06  2.017e+00, -2.251e-01,   1.989e+00,  1.501e-01,   5.966e-02,  4.502e-03,   3.977e-02,  3.001e-03,   1.193e-01, -2.251e-02,   3.345e+01, -2.790e+00,   7.955e-02,  1.735e-18,   3.333e+01, -6.288e+00,   9.656e-01,  1.822e-01,   6.667e-01,  0.000e+00,  
 8.163e+06  2.016e+00, -2.195e-01,   1.989e+00,  1.464e-01,   5.968e-02,  4.391e-03,   3.978e-02,  2.927e-03,   1.194e-01, -2.195e-02,   3.344e+01, -2.720e+00,   7.957e-02,  0.000e+00,   3.333e+01, -6.131e+00,   9.673e-01,  1.779e-01,   6.667e-01,  0.000e+00,  
 8.367e+06  2.015e+00, -2.142e-01,   1.990e+00,  1.428e-01,   5.969e-02,  4.285e-03,   3.979e-02,  2.856e-03,   1.194e-01, -2.142e-02,   3.344e+01, -2.654e+00,   7.959e-02,  0.000e+00,   3.333e+01, -5.981e+00,   9.688e-01,  1.738e-01,   6.667e-01,  0.000e+00,  
 8.571e+06  2.015e+00, -2.092e-01,   1.990e+00,  1.395e-01,   5.971e-02,  4.184e-03,   3.980e-02,  2.789e-03,   1.194e-01, -2.092e-02,   3.343e+01, -2.591e+00,   7.961e-02,  2.602e-18,   3.333e+01, -5.839e+00,   9.702e-01,  1.700e-01,   6.667e-01,  0.000e+00,  
 8.776e+06  2.014e+00, -2.044e-01,   1.991e+00,  1.362e-01,   5.972e-02,  4.087e-03,   3.981e-02,  2.725e-03,   1.194e-01, -2.044e-02,   3.343e+01, -2.531e+00,   7.963e-02,  1.735e-18,   3.333e+01, -5.703e+00,   9.716e-01,  1.662e-01,   6.667e-01,  0.000e+00,  
 8.980e+06  2.013e+00, -1.998e-01,   1.991e+00,  1.332e-01,   5.973e-02,  3.995e-03,   3.982e-02,  2.663e-03,   1.195e-01, -1.998e-02,   3.343e+01, -2.474e+00,   7.964e-02, -8.674e-19,   3.333e+01, -5.574e+00,   9.728e-01,  1.627e-01,   6.667e-01,  0.000e+00,  
 9.184e+06  2.013e+00, -1.954e-01,   1.991e+00,  1.302e-01,   5.974e-02,  3.907e-03,   3.983e-02,  2.605e-03,   1.195e-01, -1.954e-02,   3.342e+01, -2.419e+00,   7.966e-02,  8.674e-19,   3.333e+01, -5.450e+00,   9.740e-01,  1.592e-01,   6.667e-01,  0.000e+00,  
 9.388e+06  2.012e+00, -1.911e-01,   1.992e+00,  1.274e-01,   5.976e-02,  3.823e-03,   3.984e-02,  2.549e-03,   1.195e-01, -1.911e-02,   3.342e+01, -2.366e+00,   7.967e-02, -4.337e-18,   3.333e+01, -5.331e+00,   9.751e-01,  1.559e-01,   6.667e-01,  0.000e+00,  
 9.592e+06  2.012e+00, -1.871e-01,   1.992e+00,  1.247e-01,   5.977e-02,  3.742e-03,   3.984e-02,  2.495e-03,   1.195e-01, -1.871e-02,   3.341e+01, -2.316e+00,   7.969e-02, -8.674e-19,   3.333e+01, -5.218e+00,   9.761e-01,  1.528e-01,   6.667e-01,  0.000e+00,  
 9.796e+06  2.011e+00, -1.832e-01,   1.993e+00,  1.222e-01,   5.978e-02,  3.665e-03,   3.985e-02,  2.443e-03,   1.196e-01, -1.832e-02,   3.341e+01, -2.268e+00,   7.970e-02,  1.735e-18,   3.333e+01, -5.109e+00,   9.770e-01,  1.498e-01,   6.667e-01,  0.000e+00,  
 1.000e+07  2.011e+00, -1.795e-01,   1.993e+00,  1.197e-01,   5.978e-02,  3.591e-03,   3.986e-02,  2.394e-03,   1.196e-01, -1.795e-02,   3.341e+01, -2.222e+00,   7.971e-02,  8.674e-19,   3.333e+01, -5.005e+00,   9.780e-01,  1.468e-01,   6.667e-01,  0.000e+00,  
