      Freq    Re(Vin),             Im(Vin),            Re(Vout),            Im(Vout),             Re(Iin),             Im(Iin),            Re(Iout),            Im(Iout),             Re(Pin),             Im(Pin),            Re(Zout),            Im(Zout),            Re(Pout),            Im(Pout),             Re(Zin),             Im(Zin),              Re(Av),              Im(Av),              Re(Ai),              Im(Ai),          
        Hz           V                    V                    V                    V                    A                    A                    A                    A                    W                    W                 Ohms                 Ohms                    W                    W                 Ohms                 Ohms                    L                    L                    L                    L          
 6.327e+06  5.000e+00,  9.935e-03,   4.422e-05, -9.935e-03,   8.845e-07, -1.987e-04,   8.845e-07, -1.987e-04,   2.448e-06,  9.935e-04,   6.200e+01,  2.516e+04,   1.974e-06, -1.654e-24,   6.200e+01,  2.516e+04,   4.896e-06, -1.987e-03,   1.000e+00,  0.000e+00,  
 6.531e+06  5.000e+00,  9.625e-03,   4.150e-05, -9.625e-03,   8.301e-07, -1.925e-04,   8.301e-07, -1.925e-04,   2.298e-06,  9.625e-04,   6.200e+01,  2.597e+04,   1.853e-06,  3.309e-24,   6.200e+01,  2.597e+04,   4.595e-06, -1.925e-03,   1.000e+00,  0.000e+00,  
 6.735e+06  5.000e+00,  9.333e-03,   3.903e-05, -9.333e-03,   7.805e-07, -1.867e-04,   7.805e-07, -1.867e-04,   2.160e-06,  9.333e-04,   6.200e+01,  2.679e+04,   1.742e-06,  0.000e+00,   6.200e+01,  2.679e+04,   4.321e-06, -1.867e-03,   1.000e+00,  0.000e+00,  
 6.939e+06  5.000e+00,  9.059e-03,   3.676e-05, -9.059e-03,   7.353e-07, -1.812e-04,   7.353e-07, -1.812e-04,   2.035e-06,  9.059e-04,   6.200e+01,  2.760e+04,   1.641e-06,  0.000e+00,   6.200e+01,  2.760e+04,   4.070e-06, -1.812e-03,   1.000e+00,  0.000e+00,  
 7.143e+06  5.000e+00,  8.800e-03,   3.469e-05, -8.800e-03,   6.939e-07, -1.760e-04,   6.939e-07, -1.760e-04,   1.921e-06,  8.800e-04,   6.200e+01,  2.841e+04,   1.549e-06,  0.000e+00,   6.200e+01,  2.841e+04,   3.841e-06, -1.760e-03,   1.000e+00,  0.000e+00,  
 7.347e+06  5.000e+00,  8.556e-03,   3.279e-05, -8.556e-03,   6.559e-07, -1.711e-04,   6.559e-07, -1.711e-04,   1.815e-06,  8.556e-04,   6.200e+01,  2.922e+04,   1.464e-06,  8.272e-25,   6.200e+01,  2.922e+04,   3.631e-06, -1.711e-03,   1.000e+00,  0.000e+00,  
 7.551e+06  5.000e+00,  8.324e-03,   3.104e-05, -8.324e-03,   6.209e-07, -1.665e-04,   6.209e-07, -1.665e-04,   1.719e-06,  8.324e-04,   6.200e+01,  3.003e+04,   1.386e-06,  0.000e+00,   6.200e+01,  3.003e+04,   3.437e-06, -1.665e-03,   1.000e+00,  0.000e+00,  
 7.755e+06  5.000e+00,  8.105e-03,   2.943e-05, -8.105e-03,   5.886e-07, -1.621e-04,   5.886e-07, -1.621e-04,   1.629e-06,  8.105e-04,   6.200e+01,  3.084e+04,   1.314e-06,  8.272e-25,   6.200e+01,  3.084e+04,   3.259e-06, -1.621e-03,   1.000e+00,  0.000e+00,  
 7.959e+06  5.000e+00,  7.897e-03,   2.794e-05, -7.897e-03,   5.588e-07, -1.579e-04,   5.588e-07, -1.579e-04,   1.547e-06,  7.897e-04,   6.200e+01,  3.166e+04,   1.247e-06,  1.654e-24,   6.200e+01,  3.166e+04,   3.094e-06, -1.579e-03,   1.000e+00,  0.000e+00,  
 8.163e+06  5.000e+00,  7.700e-03,   2.656e-05, -7.700e-03,   5.312e-07, -1.540e-04,   5.312e-07, -1.540e-04,   1.470e-06,  7.700e-04,   6.200e+01,  3.247e+04,   1.186e-06,  0.000e+00,   6.200e+01,  3.247e+04,   2.941e-06, -1.540e-03,   1.000e+00,  0.000e+00,  
 8.367e+06  5.000e+00,  7.512e-03,   2.528e-05, -7.512e-03,   5.056e-07, -1.502e-04,   5.056e-07, -1.502e-04,   1.400e-06,  7.512e-04,   6.200e+01,  3.328e+04,   1.129e-06, -8.272e-25,   6.200e+01,  3.328e+04,   2.799e-06, -1.502e-03,   1.000e+00,  0.000e+00,  
 8.571e+06  5.000e+00,  7.333e-03,   2.409e-05, -7.333e-03,   4.819e-07, -1.467e-04,   4.819e-07, -1.467e-04,   1.334e-06,  7.333e-04,   6.200e+01,  3.409e+04,   1.076e-06, -4.136e-25,   6.200e+01,  3.409e+04,   2.667e-06, -1.467e-03,   1.000e+00,  0.000e+00,  
 8.776e+06  5.000e+00,  7.163e-03,   2.299e-05, -7.163e-03,   4.597e-07, -1.433e-04,   4.597e-07, -1.433e-04,   1.272e-06,  7.163e-04,   6.200e+01,  3.490e+04,   1.026e-06, -4.136e-25,   6.200e+01,  3.490e+04,   2.545e-06, -1.433e-03,   1.000e+00,  0.000e+00,  
 8.980e+06  5.000e+00,  7.000e-03,   2.195e-05, -7.000e-03,   4.390e-07, -1.400e-04,   4.390e-07, -1.400e-04,   1.215e-06,  7.000e-04,   6.200e+01,  3.571e+04,   9.800e-07,  0.000e+00,   6.200e+01,  3.571e+04,   2.430e-06, -1.400e-03,   1.000e+00,  0.000e+00,  
 9.184e+06  5.000e+00,  6.844e-03,   2.099e-05, -6.844e-03,   4.197e-07, -1.369e-04,   4.197e-07, -1.369e-04,   1.162e-06,  6.844e-04,   6.200e+01,  3.653e+04,   9.369e-07,  4.136e-25,   6.200e+01,  3.653e+04,   2.324e-06, -1.369e-03,   1.000e+00,  0.000e+00,  
 9.388e+06  5.000e+00,  6.696e-03,   2.008e-05, -6.696e-03,   4.017e-07, -1.339e-04,   4.017e-07, -1.339e-04,   1.112e-06,  6.696e-04,   6.200e+01,  3.734e+04,   8.966e-07,  0.000e+00,   6.200e+01,  3.734e+04,   2.224e-06, -1.339e-03,   1.000e+00,  0.000e+00,  
 9.592e+06  5.000e+00,  6.553e-03,   1.924e-05, -6.553e-03,   3.848e-07, -1.311e-04,   3.848e-07, -1.311e-04,   1.065e-06,  6.553e-04,   6.200e+01,  3.815e+04,   8.589e-07,  0.000e+00,   6.200e+01,  3.815e+04,   2.130e-06, -1.311e-03,   1.000e+00,  0.000e+00,  
 9.796e+06  5.000e+00,  6.417e-03,   1.845e-05, -6.417e-03,   3.689e-07, -1.283e-04,   3.689e-07, -1.283e-04,   1.021e-06,  6.417e-04,   6.200e+01,  3.896e+04,   8.235e-07,  0.000e+00,   6.200e+01,  3.896e+04,   2.042e-06, -1.283e-03,   1.000e+00,  0.000e+00,  
 1.000e+07  5.000e+00,  6.286e-03,   1.770e-05, -6.286e-03,   3.540e-07, -1.257e-04,   3.540e-07, -1.257e-04,   9.799e-07,  6.286e-04,   6.200e+01,  3.977e+04,   7.902e-07, -4.136e-25,   6.200e+01,  3.977e+04,   1.960e-06, -1.257e-03,   1.000e+00,  0.000e+00,  
