      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
 1.000e+01,  2.500e+00, -7.854e-09,  2.500e+00, -2.247e-04,  5.000e-02,  1.571e-10,  5.000e-02, -4.494e-06,  1.250e-01, -7.854e-10,  5.000e+01, -3.142e-07,  1.250e-01, -1.694e-21,  5.000e+01, -3.142e-07,  1.000e+00, -8.987e-05,  1.000e+00, -8.988e-05
 2.041e+05,  2.496e+00,  1.313e-03, -7.453e-01, -2.386e+00,  5.008e-02, -2.626e-05, -1.491e-02, -4.773e-02,  1.250e-01,  1.313e-04,  4.983e+01,  5.233e-02,  1.250e-01,  0.000e+00,  4.983e+01,  5.233e-02, -2.991e-01, -9.560e-01, -2.971e-01, -9.531e-01
 4.082e+05,  2.984e+00,  3.298e-01, -1.368e+00,  2.009e+00,  4.032e-02, -6.595e-03, -2.736e-02,  4.018e-02,  1.181e-01,  3.298e-02,  7.079e+01,  1.976e+01,  1.181e-01,  0.000e+00,  7.079e+01,  1.976e+01, -3.794e-01,  7.151e-01, -8.198e-01,  8.624e-01
 6.123e+05,  1.136e+00, -2.011e+00,  4.870e-01, -3.302e-01,  7.727e-02,  4.022e-02,  9.740e-03, -6.604e-03,  6.924e-03, -2.011e-01,  9.125e-01, -2.650e+01,  6.924e-03,  0.000e+00,  9.125e-01, -2.650e+01,  2.282e-01,  1.132e-01,  6.418e-02, -1.189e-01
 8.163e+05,  7.269e-02,  5.930e-01, -1.917e-02, -7.847e-02,  9.855e-02, -1.186e-02, -3.834e-04, -1.569e-03,  1.305e-04,  5.930e-02,  1.325e-02,  6.019e+00,  1.305e-04,  0.000e+00,  1.325e-02,  6.019e+00, -1.343e-01,  1.587e-02, -1.946e-03, -1.616e-02
 1.020e+06,  8.854e-01,  1.909e+00, -1.294e-02, -1.095e-02,  8.229e-02, -3.817e-02, -2.589e-04, -2.190e-04,  5.748e-06,  1.909e-01,  6.985e-04,  2.319e+01,  5.748e-06, -4.235e-22,  6.985e-04,  2.319e+01, -7.309e-03,  3.390e-03, -1.573e-03, -3.391e-03
 1.224e+06,  1.752e+00,  2.385e+00, -4.515e-03, -1.416e-03,  6.497e-02, -4.771e-02, -9.030e-05, -2.833e-05,  4.479e-07,  2.385e-01,  6.894e-05,  3.672e+01,  4.479e-07, -2.647e-23,  6.894e-05,  3.672e+01, -1.289e-03,  9.464e-04, -6.950e-04, -9.464e-04
 1.429e+06,  2.433e+00,  2.499e+00, -1.608e-03, -4.307e-05,  5.134e-02, -4.998e-02, -3.216e-05, -8.613e-07,  5.176e-08,  2.499e-01,  1.008e-05,  4.868e+01,  5.176e-08, -2.068e-25,  1.008e-05,  4.868e+01, -3.305e-04,  3.217e-04, -3.132e-04, -3.217e-04
 1.633e+06,  2.943e+00,  2.460e+00, -6.218e-04,  1.119e-04,  4.114e-02, -4.921e-02, -1.244e-05,  2.238e-06,  7.983e-09,  2.460e-01,  1.940e-06,  5.980e+01,  7.983e-09,  0.000e+00,  1.940e-06,  5.980e+01, -1.056e-04,  1.264e-04, -1.511e-04, -1.264e-04
 1.837e+06,  3.324e+00,  2.360e+00, -2.616e-04,  9.131e-05,  3.352e-02, -4.721e-02, -5.231e-06,  1.826e-06,  1.535e-09,  2.360e-01,  4.579e-07,  7.041e+01,  1.535e-09,  1.034e-25,  4.579e-07,  7.041e+01, -3.934e-05,  5.541e-05, -7.803e-05, -5.541e-05
 2.041e+06,  3.613e+00,  2.239e+00, -1.187e-04,  5.898e-05,  2.774e-02, -4.477e-02, -2.373e-06,  1.180e-06,  3.512e-10,  2.239e-01,  1.266e-07,  8.069e+01,  3.512e-10, -2.585e-26,  1.266e-07,  8.069e+01, -1.642e-05,  2.650e-05, -4.277e-05, -2.650e-05
 2.245e+06,  3.835e+00,  2.114e+00, -5.749e-05,  3.632e-05,  2.329e-02, -4.227e-02, -1.150e-06,  7.264e-07,  9.249e-11,  2.114e-01,  3.970e-08,  9.073e+01,  9.249e-11,  1.292e-26,  3.970e-08,  9.073e+01, -7.495e-06,  1.360e-05, -2.468e-05, -1.360e-05
 2.449e+06,  4.010e+00,  1.993e+00, -2.948e-05,  2.233e-05,  1.981e-02, -3.986e-02, -5.896e-07,  4.466e-07,  2.736e-11,  1.993e-01,  1.381e-08,  1.006e+02,  2.736e-11,  0.000e+00,  1.381e-08,  1.006e+02, -3.676e-06,  7.397e-06, -1.488e-05, -7.397e-06
 2.653e+06,  4.148e+00,  1.880e+00, -1.588e-05,  1.392e-05,  1.703e-02, -3.759e-02, -3.176e-07,  2.785e-07,  8.921e-12,  1.880e-01,  5.237e-09,  1.103e+02,  8.921e-12,  0.000e+00,  5.237e-09,  1.103e+02, -1.914e-06,  4.224e-06, -9.322e-06, -4.224e-06
