      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
 8.188e+05,  4.322e+00, -7.405e-01,  9.265e-01,  1.234e+00,  1.356e-02,  1.481e-02,  1.853e-02,  2.468e-02,  4.763e-02, -7.405e-02,  2.962e+01, -9.596e+01,  4.763e-02,  0.000e+00,  1.181e+02, -1.837e+02,  1.607e-01,  3.131e-01,  1.530e+00,  1.493e-01
 8.255e+05,  4.767e+00, -2.777e-01, -3.793e-01, -9.444e-01,  4.670e-03,  5.554e-03, -7.586e-03, -1.889e-02,  2.072e-02, -2.777e-02,  2.233e+01, -1.474e+02,  2.072e-02,  0.000e+00,  3.934e+02, -5.274e+02, -6.780e-02, -2.021e-01, -2.665e+00, -8.749e-01
 8.322e+05,  4.799e+00, -2.143e-01,  3.334e-01,  8.996e-01,  4.028e-03,  4.286e-03,  6.669e-03,  1.799e-02,  1.841e-02, -2.143e-02,  2.126e+01, -1.543e+02,  1.841e-02,  1.735e-18,  5.322e+02, -6.195e+02,  6.099e-02,  1.902e-01,  3.006e+00,  1.269e+00
 8.389e+05,  4.587e+00, -5.220e-01, -6.210e-01, -1.113e+00,  8.266e-03,  1.044e-02, -1.242e-02, -2.225e-02,  3.247e-02, -5.220e-02,  2.553e+01, -1.181e+02,  3.247e-02,  0.000e+00,  1.831e+02, -2.944e+02, -1.064e-01, -2.547e-01, -1.889e+00, -3.061e-01
 8.456e+05,  2.457e+00,  3.009e-01,  2.462e+00, -3.061e-01,  5.086e-02, -6.019e-03,  4.925e-02, -6.122e-03,  1.232e-01,  3.009e-02,  5.341e+01,  1.220e+01,  1.232e-01,  5.204e-18,  4.695e+01,  1.147e+01,  9.724e-01, -2.437e-01,  9.690e-01, -5.692e-03
 8.524e+05,  4.530e+00,  1.228e+00, -2.144e-01,  7.574e-01,  9.392e-03, -2.456e-02, -4.289e-03,  1.515e-02,  1.239e-02,  1.228e-01,  1.873e+03,  2.821e+02,  1.239e-02, -4.337e-19,  1.793e+01,  1.776e+02, -1.880e-03,  1.677e-01, -5.964e-01,  5.344e-02
 8.591e+05,  4.833e+00,  7.913e-01,  2.424e-02, -4.251e-01,  3.341e-03, -1.583e-02,  4.847e-04, -8.502e-03,  3.626e-03,  7.913e-02,  3.239e+01, -4.653e+02,  3.626e-03,  0.000e+00,  1.386e+01,  3.025e+02, -9.142e-03, -8.647e-02,  5.205e-01, -7.927e-02
 8.658e+05,  4.921e+00,  4.146e-01,  4.779e-02,  4.650e-01,  1.587e-03, -8.292e-03,  9.558e-04,  9.300e-03,  4.370e-03,  4.146e-02,  1.281e+01, -2.633e+02,  4.370e-03, -5.421e-20,  6.131e+01,  5.817e+02,  1.755e-02,  9.302e-02, -1.061e+00,  3.182e-01
 8.725e+05,  3.393e+00,  1.534e+00, -1.225e+00,  1.265e+00,  3.213e-02, -3.067e-02, -2.449e-02,  2.530e-02,  6.200e-02,  1.534e-01,  9.739e+01,  1.325e+02,  6.200e-02, -1.041e-17,  3.142e+01,  7.772e+01, -1.598e-01,  4.450e-01, -7.922e-01,  3.128e-02
 8.792e+05,  4.877e+00,  6.789e-01,  8.217e-04, -3.756e-01,  2.469e-03, -1.358e-02,  1.643e-05, -7.512e-03,  2.821e-03,  6.789e-02,  1.529e+01, -3.622e+02,  2.821e-03,  1.609e-20,  1.482e+01,  3.565e+02, -1.035e-02, -7.558e-02,  5.358e-01, -9.621e-02
