      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Zout),   Im(Zout),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
        Hz,          V,          V,          V,          V,          A,          A,          A,          A,          W,          W,       Ohms,       Ohms,          W,          W,       Ohms,       Ohms,          L,          L,          L,          L
 1.000e+01,  2.500e+00,  4.581e-08,  2.500e+00, -1.001e-04,  3.333e-02, -6.109e-10,  3.333e-02, -1.334e-06,  8.333e-02,  3.054e-09,  7.500e+01,  2.749e-06,  8.333e-02,  0.000e+00,  7.500e+01,  2.749e-06,  1.000e+00, -4.004e-05,  1.000e+00, -4.001e-05
 2.041e+05,  2.374e+00, -1.124e-01,  1.658e+00, -1.863e+00,  3.502e-02,  1.499e-03,  2.211e-02, -2.484e-02,  8.295e-02, -7.495e-03,  6.752e+01, -6.101e+00,  8.295e-02,  0.000e+00,  6.752e+01, -6.101e+00,  7.341e-01, -7.502e-01,  5.999e-01, -7.351e-01
 4.082e+05,  1.357e+00,  3.514e-01, -6.452e-01, -2.099e+00,  4.857e-02, -4.685e-03, -8.602e-03, -2.798e-02,  6.427e-02,  2.342e-02,  2.699e+01,  9.837e+00,  6.427e-02, -3.469e-18,  2.699e+01,  9.837e+00, -8.208e-01, -1.334e+00, -1.204e-01, -5.877e-01
 6.123e+05,  1.860e+00,  2.101e+00, -1.142e+00, -3.479e-01,  4.187e-02, -2.801e-02, -1.523e-02, -4.639e-03,  1.901e-02,  1.401e-01,  7.491e+00,  5.520e+01,  1.901e-02,  2.602e-18,  7.491e+00,  5.520e+01, -3.627e-01,  2.226e-01, -2.001e-01, -2.447e-01
 8.163e+05,  3.096e+00,  2.363e+00, -5.417e-01,  1.368e-01,  2.538e-02, -3.150e-02, -7.223e-03,  1.824e-03,  4.162e-03,  1.575e-01,  2.543e+00,  9.625e+01,  4.162e-03, -4.337e-19,  2.543e+00,  9.625e+01, -8.928e-02,  1.123e-01, -1.471e-01, -1.108e-01
 1.020e+06,  3.784e+00,  2.125e+00, -2.494e-01,  1.508e-01,  1.621e-02, -2.833e-02, -3.326e-03,  2.010e-03,  1.133e-03,  1.417e-01,  1.063e+00,  1.330e+02,  1.133e-03, -1.084e-19,  1.063e+00,  1.330e+02, -3.311e-02,  5.843e-02, -1.040e-01, -5.786e-02
 1.224e+06,  4.160e+00,  1.861e+00, -1.264e-01,  1.128e-01,  1.119e-02, -2.482e-02, -1.686e-03,  1.504e-03,  3.827e-04,  1.241e-01,  5.164e-01,  1.674e+02,  3.827e-04,  0.000e+00,  5.164e-01,  1.674e+02, -1.522e-02,  3.392e-02, -7.581e-02, -3.373e-02
 1.429e+06,  4.385e+00,  1.638e+00, -7.008e-02,  8.064e-02,  8.195e-03, -2.184e-02, -9.344e-04,  1.075e-03,  1.522e-04,  1.092e-01,  2.796e-01,  2.007e+02,  1.522e-04, -1.355e-20,  2.796e-01,  2.007e+02, -7.994e-03,  2.138e-02, -5.722e-02, -2.131e-02
 1.633e+06,  4.530e+00,  1.457e+00, -4.175e-02,  5.818e-02,  6.261e-03, -1.942e-02, -5.566e-04,  7.757e-04,  6.837e-05,  9.712e-02,  1.641e-01,  2.332e+02,  6.837e-05,  6.776e-21,  1.641e-01,  2.332e+02, -4.608e-03,  1.432e-02, -4.454e-02, -1.430e-02
 1.837e+06,  4.629e+00,  1.309e+00, -2.634e-02,  4.285e-02,  4.941e-03, -1.745e-02, -3.512e-04,  5.714e-04,  3.374e-05,  8.726e-02,  1.026e-01,  2.653e+02,  3.374e-05, -1.694e-21,  1.026e-01,  2.653e+02, -2.845e-03,  1.006e-02, -3.559e-02, -1.005e-02
 2.041e+06,  4.700e+00,  1.187e+00, -1.741e-02,  3.228e-02,  3.999e-03, -1.582e-02, -2.321e-04,  4.304e-04,  1.793e-05,  7.912e-02,  6.732e-02,  2.970e+02,  1.793e-05, -8.470e-22,  6.732e-02,  2.970e+02, -1.852e-03,  7.335e-03, -2.905e-02, -7.329e-03
 2.245e+06,  4.752e+00,  1.085e+00, -1.196e-02,  2.482e-02,  3.304e-03, -1.446e-02, -1.594e-04,  3.310e-04,  1.012e-05,  7.232e-02,  4.599e-02,  3.286e+02,  1.012e-05, -8.470e-22,  4.599e-02,  3.286e+02, -1.258e-03,  5.511e-03, -2.414e-02, -5.508e-03
 2.449e+06,  4.792e+00,  9.984e-01, -8.477e-03,  1.946e-02,  2.775e-03, -1.331e-02, -1.130e-04,  2.594e-04,  6.006e-06,  6.656e-02,  3.248e-02,  3.599e+02,  6.006e-06,  8.470e-22,  3.248e-02,  3.599e+02, -8.845e-04,  4.245e-03, -2.037e-02, -4.243e-03
 2.653e+06,  4.823e+00,  9.245e-01, -6.174e-03,  1.551e-02,  2.364e-03, -1.233e-02, -8.232e-05,  2.068e-04,  3.716e-06,  6.164e-02,  2.358e-02,  3.912e+02,  3.716e-06, -2.118e-22,  2.358e-02,  3.912e+02, -6.401e-04,  3.339e-03, -1.742e-02, -3.338e-03
 2.857e+06,  4.847e+00,  8.607e-01, -4.601e-03,  1.255e-02,  2.038e-03, -1.148e-02, -6.135e-05,  1.673e-04,  2.382e-06,  5.738e-02,  1.754e-02,  4.224e+02,  2.382e-06, -1.059e-22,  1.754e-02,  4.224e+02, -4.747e-04,  2.673e-03, -1.506e-02, -2.673e-03
 3.061e+06,  4.867e+00,  8.049e-01, -3.499e-03,  1.029e-02,  1.775e-03, -1.073e-02, -4.665e-05,  1.372e-04,  1.575e-06,  5.366e-02,  1.331e-02,  4.535e+02,  1.575e-06,  0.000e+00,  1.331e-02,  4.535e+02, -3.594e-04,  2.173e-03, -1.314e-02, -2.173e-03
 3.265e+06,  4.883e+00,  7.558e-01, -2.707e-03,  8.535e-03,  1.560e-03, -1.008e-02, -3.609e-05,  1.138e-04,  1.069e-06,  5.039e-02,  1.028e-02,  4.845e+02,  1.069e-06,  5.294e-23,  1.028e-02,  4.845e+02, -2.772e-04,  1.791e-03, -1.157e-02, -1.791e-03
 3.469e+06,  4.896e+00,  7.123e-01, -2.127e-03,  7.156e-03,  1.382e-03, -9.498e-03, -2.836e-05,  9.541e-05,  7.430e-07,  4.749e-02,  8.066e-03,  5.155e+02,  7.430e-07,  0.000e+00,  8.066e-03,  5.155e+02, -2.172e-04,  1.493e-03, -1.026e-02, -1.493e-03
 3.673e+06,  4.908e+00,  6.735e-01, -1.694e-03,  6.056e-03,  1.233e-03, -8.980e-03, -2.259e-05,  8.075e-05,  5.273e-07,  4.490e-02,  6.418e-03,  5.465e+02,  5.273e-07,  2.647e-23,  6.418e-03,  5.465e+02, -1.726e-04,  1.258e-03, -9.165e-03, -1.258e-03
 3.878e+06,  4.917e+00,  6.387e-01, -1.366e-03,  5.170e-03,  1.106e-03, -8.516e-03, -1.821e-05,  6.893e-05,  3.812e-07,  4.258e-02,  5.170e-03,  5.774e+02,  3.812e-07,  1.323e-23,  5.170e-03,  5.774e+02, -1.389e-04,  1.069e-03, -8.233e-03, -1.069e-03
 4.082e+06,  4.925e+00,  6.072e-01, -1.114e-03,  4.447e-03,  9.983e-04, -8.096e-03, -1.485e-05,  5.930e-05,  2.802e-07,  4.048e-02,  4.211e-03,  6.083e+02,  2.802e-07,  0.000e+00,  4.211e-03,  6.083e+02, -1.130e-04,  9.169e-04, -7.437e-03, -9.168e-04
 4.286e+06,  4.932e+00,  5.787e-01, -9.168e-04,  3.853e-03,  9.055e-04, -7.716e-03, -1.222e-05,  5.137e-05,  2.091e-07,  3.858e-02,  3.464e-03,  6.392e+02,  2.091e-07,  0.000e+00,  3.464e-03,  6.392e+02, -9.294e-05,  7.920e-04, -6.750e-03, -7.920e-04
 4.490e+06,  4.938e+00,  5.528e-01, -7.616e-04,  3.359e-03,  8.250e-04, -7.370e-03, -1.015e-05,  4.479e-05,  1.582e-07,  3.685e-02,  2.876e-03,  6.700e+02,  1.582e-07,  0.000e+00,  2.876e-03,  6.700e+02, -7.711e-05,  6.889e-04, -6.154e-03, -6.889e-04
 4.694e+06,  4.943e+00,  5.290e-01, -6.378e-04,  2.946e-03,  7.548e-04, -7.053e-03, -8.505e-06,  3.928e-05,  1.212e-07,  3.527e-02,  2.408e-03,  7.009e+02,  1.212e-07,  0.000e+00,  2.408e-03,  7.009e+02, -6.451e-05,  6.029e-04, -5.634e-03, -6.029e-04
 4.898e+06,  4.948e+00,  5.072e-01, -5.382e-04,  2.598e-03,  6.932e-04, -6.763e-03, -7.177e-06,  3.464e-05,  9.385e-08,  3.381e-02,  2.031e-03,  7.317e+02,  9.385e-08,  0.000e+00,  2.031e-03,  7.317e+02, -5.439e-05,  5.306e-04, -5.176e-03, -5.306e-04
 5.102e+06,  4.952e+00,  4.871e-01, -4.573e-04,  2.302e-03,  6.389e-04, -6.495e-03, -6.098e-06,  3.070e-05,  7.346e-08,  3.247e-02,  1.725e-03,  7.625e+02,  7.346e-08, -3.309e-24,  1.725e-03,  7.625e+02, -4.618e-05,  4.694e-04, -4.773e-03, -4.694e-04
